ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K22720,glgS,surface composition regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22721,CSG1,"SUR1, CSH1; inositol phosphorylceramide mannosyltransferase catalytic subunit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22722,CSG2,inositol phosphorylceramide mannosyltransferase regulatory subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22723,AUR1,inositol phosphorylceramide synthase catalytic subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22724,KEI1,inositol phosphorylceramide synthase regulatory subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22725,IPT1,mannosyl-inositol-phosphoceramide inositolphosphotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22727,CYP5081C1,HELB4; helvolic acid biosynthesis cytochrome P450 monooxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22733,NIPA,SLC57A2S; magnesium transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22734,ANKH,SLC62A1; progressive ankylosis protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22736,VIT,vacuolar iron transporter family protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22737,mbfA,erythrin-vacuolar iron transport family protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22739,CHYA,2-(2-aminopropanamido)benzoic acid synthetase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22740,PSOD,pseurotin biosynthesis cytochrome P450 monooxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22741,PSOC,pseurotin biosynthesis methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22743,PSOF,pseurotin biosynthesis epoxidase/methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22745,AIFM2,apoptosis-inducing factor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K22746,CIAPIN1,DRE2; anamorsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22747,AIFM3,apoptosis-inducing factor 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22756,NSMCE2,NSE2; E3 SUMO-protein ligase NSE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22757,QCT,qpcT; glutaminyl-peptide cyclotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22758,CHCHD2,coiled-coil-helix-coiled-coil-helix domain-containing protein 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22762,DESI1,PPPDE2; desumoylating isopeptidase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22763,DESI2,PPPDE1; deubiquitinase DESI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22766,FIGNL1,fidgetin-like protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22769,desA3,NADPH-dependent stearoyl-CoA 9-desaturase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K22770,K22770,stearoyl-CoA 9-desaturase NADPH oxidoreductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K22795,papA2,2-O-sulfo trehalose long-chain-acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22796,chp2,diacyltrehalose acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22797,octT,diglucosylglycerate octanoyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22803,SMC5,structural maintenance of chromosomes protein 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22804,SMC6,structural maintenance of chromosomes protein 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22813,E4.1.1.110,bisphosphomevalonate decarboxylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K22817,NSMCE1,NSE1; non-structural maintenance of chromosomes element 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22818,fadE26,3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22819,fadE27,3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22820,fadE34,3-oxochol-4-en-24-oyl-CoA dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22821,fadE28,3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase alpha subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22822,fadE29,3-oxo-4-pregnene-20-carboxyl-CoA dehydrogenase beta subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22823,NSMCE3,NSE3; non-structural maintenance of chromosomes element 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22825,NSMCE4,NSE4; non-structural maintenance of chromosomes element 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22831,LOA1,1-acylglycerol-3-phosphate O-acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K22832,GAS1,"1,3-beta-glucanosyltransferase GAS1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22833,GAS2,"1,3-beta-glucanosyltransferase GAS2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22834,GAS3,"1,3-beta-glucanosyltransferase GAS3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22835,GAS4,"1,3-beta-glucanosyltransferase GAS4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22836,GAS5,"1,3-beta-glucanosyltransferase GAS5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22837,ubaA,SAMP-activating enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22840,phlB,2-acetylphloroglucinol acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22843,ETFBKMT,METTL20; ETFB lysine methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22844,aglG,glucosyl-dolichyl phosphate glucuronosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22847,cysK2,S-sulfo-L-cysteine synthase (3-phospho-L-serine-dependent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K22855,EEF1AKMT1,EFM5; EEF1A lysine methyltransferase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22856,EEF1AKMT2,"EFM4, METTL10; EEF1A lysine methyltransferase 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22857,EEF1AKMT4,EEF1A lysine methyltransferase 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22866,TCTEX1D2,tctex1 domain-containing protein 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22874,pvcB,L-tyrosine isonitrile desaturase/decarboxylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K22875,rtxC,dihydrorhizobitoxine desaturase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22879,hpyO,FAD-dependent urate hydroxylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K22881,phaE,poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22882,K22882,thymidylate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22884,SIDL,N5-hydroxyornithine acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22885,K22885,"dTDP-4-amino-4,6-dideoxyglucose formyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22886,K22886,protein lysine acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22889,AYT1,TRI101; trichothecene 3-O-acetyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22893,pknH,serine/threonine kinase PknH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22894,embR,"SARP family transcriptional regulator, regulator of embCAB operon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22895,cruH,"renierapurpurin 18,18'-hydroxylase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22896,vnfD,vanadium-dependent nitrogenase alpha chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Energy metabolism,Nitrogen metabolism
K22897,vnfK,vanadium-dependent nitrogenase beta chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Energy metabolism,Nitrogen metabolism
K22899,vnfH,vanadium nitrogenase iron protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Energy metabolism,Nitrogen metabolism
K22900,TRMO,trmO; tRNA (adenine37-N6)-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22901,trm4,tRNA (cytosine40_48-C5)-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22902,K22902,D-galactosaminyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K22903,vnfE,nitrogenase vanadium-cofactor synthesis protein VnfE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22905,stf3,omega-hydroxy-beta-dihydromenaquinone-9 sulfotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22906,phy,phloretin hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K22907,ppgS,polyprenyl-phospho-N-acetylgalactosaminyl synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22908,mggS,mannosylglucosylglycerate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22909,ZC3H13,zinc finger CCCH domain-containing protein 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22911,TH2,thiamine phosphate phosphatase / amino-HMP aminohydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K22913,FIG4,"phosphatidylinositol 3,5-bisphosphate 5-phosphatase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22915,tviD,Vi polysaccharide biosynthesis protein TviD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22916,tviE,vipC; Vi polysaccharide biosynthesis protein TviE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22917,vexE,Vi polysaccharide export protein VexE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22920,UGP3,UTP---glucose-1-phosphate uridylyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism;Glycan biosynthesis and metabolism;Lipid metabolism,Other
K22921,vexB,Vi polysaccharide transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K22922,vexD,Vi polysaccharide transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K22924,vexA,tviF; Vi polysaccharide export protein VexA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22926,tviB,vipA; UDP-N-acetylglucosamine 6-dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K22927,gdpP,cyclic-di-AMP phosphodiesterase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22928,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22931,E5.5.1.29,(+)-kolavenyl diphosphate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22933,lplD,"galacturan 1,4-alpha-galacturonidase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22934,E3.2.1.28,"alpha,alpha-trehalase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22935,XK1,psk; D-ribulokinase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22939,IER3IP1,YOS1; immediate early response 3-interacting protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22940,YIPF1_2,protein YIPF1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22943,YIPF6,protein YIPF6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22952,pvcA,L-tyrosine isonitrile synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K22954,luxI,acyl homoserine lactone synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Amino acid metabolism,Other
K22955,traI,avsI; acyl homoserine lactone synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Amino acid metabolism,Other
K22956,expI,esaI; acyl homoserine lactone synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Amino acid metabolism,Other
K22957,cviI,acyl homoserine lactone synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Amino acid metabolism,Other
K22958,lpdC,gallate decarboxylase subunit C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22959,lpdB,gallate decarboxylase subunit B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22960,lpdD,gallate decarboxylase subunit D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Xenobiotics biodegradation and metabolism,Other
K22968,sinI,avsI; acyl homoserine lactone synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism,Amino acid metabolism,Other
K22969,gdh,glucose 1-dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22976,atxA,anthrax toxin expression trans-acting positive regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22982,K22982,hydroxypyruvate reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Carbohydrate metabolism,Other
K22991,WDR45,"WIPI4, WIPI3; WD repeat-containing protein 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K22992,CYP628,cytochrome P450 family 628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K22993,K22993,bifunctional Delta-12/omega-3 fatty acid desaturase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K22994,pelX,pectate disaccharide-lyase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K22997,cotB3,cyclooctat-9-en-7-ol 5-monooxygenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K23002,RPAP3,RNA polymerase II-associated protein 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23003,lgaA,L-galactose dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K23004,lgaB,"L-galactono-1,5-lactonase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K23005,lgaC,L-galactonate 5-dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K23006,FAD3,omega-3 fatty acid desaturase (Delta-15 desaturase),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K23007,lgoD,L-galactonate 5-dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Carbohydrate metabolism,Other
K23010,OMA1,"metalloendopeptidase OMA1, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23012,TYSND1,peroxisomal leader peptide-processing protease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23015,lgoR,"GntR family transcriptional regulator, transcriptional activator for L-galactonate catabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23016,lgoT,"MFS transporter, ACS family, L-galactonate transporter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23020,camE36,"3,6-diketocamphane 1,6-monooxygenase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K23036,desC2,sn-2 palmitoyl-lipid 9-desaturase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23039,NAB2,nuclear polyadenylated RNA-binding protein NAB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23043,E4.2.3.157,(+)-isoafricanol synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23044,sds,"selina-4(15),7(11)-diene synthase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23050,PCBER1,phenylcoumaran benzylic ether reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23054,desC,sn-1 stearoyl-lipid 9-desaturase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23055,K23055,putative lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23056,K23056,putative lysine/arginine/ornithine/histidine/octopine transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23057,K23057,putative lysine/arginine/ornithine/histidine/octopine transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23058,K23058,putative lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23059,artP,artI; arginine/lysine/histidine transporter system substrate-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23060,artR,artM; arginine/lysine/histidine transport system ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23061,lhpP,hydroxyproline transporter system substrate-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23062,lhpM,hydroxyproline transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23063,lhpN,hydroxyproline transport system permease protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23064,lhpO,hydroxyproline transport system ATP-binding protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K23072,wbbI,"O16-antigen biosynthesis beta-1,6-galactofuranosyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K23075,garA,glutathione amide-dependent peroxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23076,garB,glutathione amide reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23077,dsrC,dissimilatory sulfite reductase related protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23078,mqnK,menK; menaquinone C8-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23079,E2.4.1.359,glucosylglycerol phosphorylase (configuration-retaining),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23082,kdoH1,3-deoxy-D-manno-octulosonic acid-hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K23084,rgtA,lipopolysaccharide core galacturonosyltransferase RgtA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23085,rgtB,lipopolysaccharide core galacturonosyltransferase RgtB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23086,ggH,glucosylglycerate hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23087,TFPI2,tissue factor pathway inhibitor 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K23093,USB1,U6 snRNA phosphodiesterase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
