ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes
K01678,E4.2.1.2AB/fumB,fumarate hydratase subunit beta,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,dchb|rtca|other,
K01679,E4.2.1.2B/fumC/FH,fumarate hydratase/class II,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,3hp|rtca|other,
K01681,ACO,aconitate hydratase,4.2.1.3,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca|other,
K01682,acnB,aconitate hydratase 2 / 2-methylisocitrate dehydratase,4.2.1.3,4.2.1.99,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,
K01689,ENO1_2_3/eno,enolase 1/2/3,4.2.1.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K01690,edd,phosphogluconate dehydratase,4.2.1.12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01715,crt,enoyl-CoA hydratase,4.2.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01720,prpD,2-methylcitrate dehydratase,4.2.1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K01738,cysK,cysteine synthase,2.5.1.47,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01752,E4.3.1.17/sdaA/sdaB/tdcG,L-serine dehydratase,4.3.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01754,E4.3.1.19/ilvA/tdcB,threonine dehydratase,4.3.1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01782,fadJ,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase,1.1.1.35,4.2.1.17,5.1.2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01783,rpe/RPE,ribulose-phosphate 3-epimerase,5.1.3.1,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K01803,TPI/tpiA,triosephosphate isomerase (TIM),5.3.1.1,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K01807,rpiA,ribose 5-phosphate isomerase A,5.3.1.6,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,cbb|other,
K01808,rpiB,ribose 5-phosphate isomerase B,5.3.1.6,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K01810,GPI/pgi,glucose-6-phosphate isomerase,5.3.1.9,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01825,fadB,3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase,1.1.1.35,4.2.1.17,5.1.2.3,5.3.3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01834,PGAM/gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",5.4.2.11,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01846,glmS/mutS/mamA,methylaspartate mutase sigma subunit,5.4.99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K01847,MUT,methylmalonyl-CoA mutase,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,3hp|other,
K01848,E5.4.99.2A/mcmA1,methylmalonyl-CoA mutase/N-terminal domain,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,3hp|hphb|other,
K01849,E5.4.99.2B/mcmA2,methylmalonyl-CoA mutase/C-terminal domain,5.4.99.2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,3hp|hphb|other,
K01895,ACSS1_2/acs,acetyl-CoA synthetase,6.2.1.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,
K01899,LSC1,succinyl-CoA synthetase alpha subunit,6.2.1.4,6.2.1.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01900,LSC2,succinyl-CoA synthetase beta subunit,6.2.1.4,6.2.1.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01902,sucD,succinyl-CoA synthetase alpha subunit,6.2.1.5,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K01903,sucC,succinyl-CoA synthetase beta subunit,6.2.1.5,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K01913,AAE7/ACN1,acetate/butyrate---CoA ligase,6.2.1.1,6.2.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01938,fhs,formate--tetrahydrofolate ligase,6.3.4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K01948,CPS1,carbamoyl-phosphate synthase (ammonia),6.3.4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01958,PC/pyc,pyruvate carboxylase,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,
K01959,pycA,pyruvate carboxylase subunit A,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,
K01960,pycB,pyruvate carboxylase subunit B,6.4.1.1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,
K01961,accC,acetyl-CoA carboxylase/biotin carboxylase subunit,6.4.1.2,6.3.4.14,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,
K01962,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha,6.4.1.2,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,
K01963,accD,acetyl-CoA carboxylase carboxyl transferase subunit beta,6.4.1.2,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,
K01964,K01964,acetyl-CoA/propionyl-CoA carboxylase,6.4.1.2,6.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,hphb|other,
K01965,PCCA/pccA,propionyl-CoA carboxylase alpha subunit,6.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,other,
K01966,PCCB/pccB,propionyl-CoA carboxylase beta subunit,6.4.1.3,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,other,
K02160,accB/bccP,acetyl-CoA carboxylase biotin carboxyl carrier protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,
K02203,thrH,phosphoserine / homoserine phosphotransferase,3.1.3.3,2.7.1.39,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K02437,gcvH/GCSH,glycine cleavage system H protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K02446,glpX,"fructose-1,6-bisphosphatase II",3.1.3.11,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K03388,hdrA2,heterodisulfide reductase subunit A2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K03389,hdrB2,heterodisulfide reductase subunit B2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K03390,hdrC2,heterodisulfide reductase subunit C2,1.8.7.3,1.8.98.4,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K03396,gfa,S-(hydroxymethyl)glutathione synthase,4.4.1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K03417,prpB,methylisocitrate lyase,4.1.3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K03737,por/nifJ,pyruvate-ferredoxin/flavodoxin oxidoreductase,1.2.7.1,1.2.7.-,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,rtca|other,
K03738,aor,aldehyde:ferredoxin oxidoreductase,1.2.7.5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,other,
K03781,katE/CAT/catB/srpA,catalase,1.11.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K03841,FBP/fbp,"fructose-1,6-bisphosphatase I",3.1.3.11,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,cbb|other,
K04480,mtaB,methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase,2.1.1.90,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,
K04835,mal,methylaspartate ammonia-lyase,4.3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K05298,GAPA,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),1.2.1.13,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb,cbb_2
K05299,fdhA,formate dehydrogenase (NADP+) alpha subunit,1.17.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K05308,gnaD,gluconate/galactonate dehydratase,4.2.1.140,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,other,
K05605,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,3.1.2.4,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K05606,MCEE/epi,methylmalonyl-CoA/ethylmalonyl-CoA epimerase,5.1.99.1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,3hp|hphb|other,
K05942,E2.3.3.3,citrate (Re)-synthase,2.3.3.3,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K06859,pgi1,glucose-6-phosphate isomerase/archaeal,5.3.1.9,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K07404,pgl,6-phosphogluconolactonase,3.1.1.31,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K07511,ECHS1,enoyl-CoA hydratase,4.2.1.17,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K07516,fadN,3-hydroxyacyl-CoA dehydrogenase,1.1.1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K08074,ADPGK,ADP-dependent glucokinase,2.7.1.147,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K08093,hxlA,3-hexulose-6-phosphate synthase,4.1.2.43,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,other,
K08094,hxlB,6-phospho-3-hexuloisomerase,5.3.1.27,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,other,
K08264,hdrD,heterodisulfide reductase subunit D,1.8.98.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K08265,hdrE,heterodisulfide reductase subunit E,1.8.98.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K08318,yihU,4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase,1.1.1.61,1.1.1.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K08691,mcl,malyl-CoA/(S)-citramalyl-CoA lyase,4.1.3.24,4.1.3.25,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,3hp|other,hp_2|hp_3
K08692,mtkB,malate-CoA ligase subunit alpha,6.2.1.9,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K09709,meh,3-methylfumaryl-CoA hydratase,4.2.1.153,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2
K09788,prpF,2-methylaconitate isomerase,5.3.3.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K10713,fae,"5,6,7,8-tetrahydromethanopterin hydro-lyase",4.2.1.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K10714,mtdB,methylene-tetrahydromethanopterin dehydrogenase,1.5.1.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K10944,pmoA-amoA,methane/ammonia monooxygenase subunit A,1.14.18.3,1.14.99.39,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K10945,pmoB-amoB,methane/ammonia monooxygenase subunit B,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K10946,pmoC-amoC,methane/ammonia monooxygenase subunit C,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K11260,fwdG,4Fe-4S ferredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K11261,fwdE/fmdE,formylmethanofuran dehydrogenase subunit E,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K11263,bccA/pccA/accA3,acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase/biotin carboxylase/biotin carboxyl carrier protein,6.4.1.2,6.4.1.3,6.4.1.-,6.3.4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,other,
K11389,gapor,glyceraldehyde-3-phosphate dehydrogenase (ferredoxin),1.2.7.6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K11395,kdpgA,2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase,4.1.2.,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,other,
K11517,HAO,(S)-2-hydroxy-acid oxidase,1.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K11529,gck/gckA/GLYCTK,glycerate 2-kinase,2.7.1.165,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K11532,glpX-SEBP,"fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase",3.1.3.11,3.1.3.37,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K11645,fbaB,fructose-bisphosphate aldolase/class I,4.1.2.13,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K12406,PKLR,pyruvate kinase isozymes R/L,2.7.1.40,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K12407,GCK,glucokinase,2.7.1.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K13034,ATCYSC1,L-3-cyanoalanine synthase/ cysteine synthase,2.5.1.47,4.4.1.9,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K13788,pta,phosphate acetyltransferase,2.3.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,other,
K13810,tal-pgi,transaldolase / glucose-6-phosphate isomerase,2.2.1.2,5.3.1.9,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K13812,fae-hps,bifunctional enzyme Fae/Hps,4.2.1.147,4.1.2.43,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,other,
K13831,hps-phi,3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase,4.1.2.43,5.3.1.27,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,other,
K13937,H6PD,hexose-6-phosphate dehydrogenase,1.1.1.47,3.1.1.31,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K13942,hmd,"5,10-methenyltetrahydromethanopterin hydrogenase",1.12.98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K14028,mdh1/mxaF,methanol dehydrogenase (cytochrome c) subunit 1,1.1.2.7,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K14029,mdh2/mxaI,methanol dehydrogenase (cytochrome c) subunit 2,1.1.2.7,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,other,
K14067,mtkA,malate-CoA ligase subunit beta,6.2.1.9,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K14080,mtaA,[methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase,2.1.1.246,2.1.1.377,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,
K14081,mtaC,methanol corrinoid protein,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,other,
K14082,mtbA,[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase,2.1.1.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K14083,mttB,trimethylamine---corrinoid protein Co-methyltransferase,2.1.1.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K14084,mttC,trimethylamine corrinoid protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,other,
K14126,mvhA/vhuA/vhcA,F420-non-reducing hydrogenase large subunit,1.12.99.-,1.8.98.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K14127,mvhD/vhuD/vhcD,F420-non-reducing hydrogenase iron-sulfur subunit,1.12.99.-,1.8.98.5,1.8.98.6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K14128,mvhG/vhuG/vhcG,F420-non-reducing hydrogenase small subunit,1.12.99.-,1.8.98.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K14138,acsB,acetyl-CoA synthase,2.3.1.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_1|wl_2|wl_3
K14272,GGAT,glutamate--glyoxylate aminotransferase,2.6.1.4,2.6.1.2,2.6.1.44,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,other,
K14446,ccr,crotonyl-CoA carboxylase/reductase,1.3.1.85,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K14447,ecm,ethylmalonyl-CoA mutase,5.4.99.63,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K14448,mcd,(2S)-methylsuccinyl-CoA dehydrogenase,1.3.8.12,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K14449,mch/mcd,2-methylfumaryl-CoA hydratase,4.2.1.148,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,3hp|other,hp_2
K14451,mcl2,(3S)-malyl-CoA thioesterase,3.1.2.30,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,other,
K14454,GOT1,aspartate aminotransferase/cytoplasmic,2.6.1.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K14455,GOT2,aspartate aminotransferase/mitochondrial,2.6.1.1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K14465,K14465,succinate semialdehyde reductase (NADPH),1.1.1.-,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K14466,K14466,4-hydroxybutyrate---CoA ligase (AMP-forming),6.2.1.40,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,hphb,hphb_1|dchb_hphb
K14467,4hbl,4-hydroxybutyrate---CoA ligase (AMP-forming),6.2.1.40,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,dchb,dchb_1|dchb_hphb
K14468,mcr,malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+),1.2.1.75,1.1.1.298,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2|hp_3
K14469,K14469,acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase,1.3.1.84,4.2.1.116,6.2.1.36,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2
K14470,mct,2-methylfumaryl-CoA isomerase,5.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2
K14471,smtA1,succinyl-CoA:(S)-malate CoA-transferase subunit A,2.8.3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2
K14472,smtB,succinyl-CoA:(S)-malate CoA-transferase subunit B,2.8.3.22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_1|hp_2
K14534,abfD,4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase,4.2.1.120,5.3.3.3,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K14729,FOX2,multifunctional beta-oxidation protein,4.2.1.-,1.1.1.-,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K15016,K15016,enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase,4.2.1.17,1.1.1.35,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K15017,K15017,malonyl-CoA/succinyl-CoA reductase (NADPH),1.2.1.75,1.2.1.76,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K15018,K15018,3-hydroxypropionyl-coenzyme A synthetase,6.2.1.36,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,hphb,hphb_1|dchb_hphb
K15019,K15019,3-hydroxypropionyl-coenzyme A dehydratase,4.2.1.116,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,hphb,hphb_1|dchb_hphb
K15020,K15020,acryloyl-coenzyme A reductase,1.3.1.84,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,hphb,hphb_1|dchb_hphb
K15022,fdhB,formate dehydrogenase (NADP+) beta subunit,1.17.1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K15023,acsE,5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase,2.1.1.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K15024,K15024,putative phosphotransacetylase,2.3.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,other,
K15036,K15036,acetyl-CoA/propionyl-CoA carboxylase,6.4.1.2,6.4.1.3,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,hphb|other,
K15037,K15037,biotin carboxyl carrier protein,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,hphb|other,
K15038,K15038,succinyl-CoA reductase,1.2.1.76,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb,dchb_hphb
K15039,K15039,3-hydroxypropionate dehydrogenase (NADP+),1.1.1.298,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,hphb,hphb_1|dchb_hphb
K15052,K15052,propionyl-CoA carboxylase,6.4.1.3,2.1.3.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3hp,hp_2|hp_3
K15230,aclA,ATP-citrate lyase alpha-subunit,2.3.3.8,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_1|rtca_2|rtca_3|rtca_4
K15231,aclB,ATP-citrate lyase beta-subunit,2.3.3.8,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_1|rtca_2|rtca_3|rtca_4
K15232,ccsA,citryl-CoA synthetase large subunit,6.2.1.18,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_1|rtca_2|rtca_3|rtca_4
K15233,ccsB,citryl-CoA synthetase small subunit,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_1|rtca_2|rtca_3|rtca_4
K15234,ccl,citryl-CoA lyase,4.1.3.34,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca,rtca_1|rtca_2|rtca_3|rtca_4
K15633,gpmI,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",5.4.2.12,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
